"Journal title","ISSN","eISSN","Publisher name","Publisher address"
"ACM TRANSACTIONS ON INTERACTIVE INTELLIGENT SYSTEMS","2160-6455","2160-6463","ASSOC COMPUTING MACHINERY","2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701"
"ACM TRANSACTIONS ON INTERNET TECHNOLOGY","1533-5399","1557-6051","ASSOC COMPUTING MACHINERY","2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701"
"ACM TRANSACTIONS ON KNOWLEDGE DISCOVERY FROM DATA","1556-4681","1556-472X","ASSOC COMPUTING MACHINERY","2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701"
"ACM TRANSACTIONS ON MATHEMATICAL SOFTWARE","0098-3500","1557-7295","ASSOC COMPUTING MACHINERY","2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701"
"ACM TRANSACTIONS ON MODELING AND COMPUTER SIMULATION","1049-3301","1558-1195","ASSOC COMPUTING MACHINERY","2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701"
"ACM TRANSACTIONS ON MULTIMEDIA COMPUTING COMMUNICATIONS AND APPLICATIONS","1551-6857","1551-6865","ASSOC COMPUTING MACHINERY","2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701"
"ACM TRANSACTIONS ON PRIVACY AND SECURITY","2471-2566","2471-2574","ASSOC COMPUTING MACHINERY","2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701"
"ACM TRANSACTIONS ON PROGRAMMING LANGUAGES AND SYSTEMS","0164-0925","1558-4593","ASSOC COMPUTING MACHINERY","2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701"
"ACM TRANSACTIONS ON RECONFIGURABLE TECHNOLOGY AND SYSTEMS","1936-7406","1936-7414","ASSOC COMPUTING MACHINERY","2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701"
"ACM TRANSACTIONS ON SENSOR NETWORKS","1550-4859","1550-4867","ASSOC COMPUTING MACHINERY","2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701"
"ACM TRANSACTIONS ON SOFTWARE ENGINEERING AND METHODOLOGY","1049-331X","1557-7392","ASSOC COMPUTING MACHINERY","2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701"
"ACM TRANSACTIONS ON STORAGE","1553-3077","1553-3093","ASSOC COMPUTING MACHINERY","2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701"
"ACM TRANSACTIONS ON THE WEB","1559-1131","1559-114X","ASSOC COMPUTING MACHINERY","2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701"
"ACOUSTICAL PHYSICS","1063-7710","1562-6865","PLEIADES PUBLISHING INC","PLEIADES PUBLISHING INC, MOSCOW, RUSSIA, 00000"
"ACOUSTICS AUSTRALIA","0814-6039","1839-2571","SPRINGER SINGAPORE PTE LTD","#04-01 CENCON I, 1 TANNERY RD, SINGAPORE, SINGAPORE, 347719"
"ACS APPLIED ENERGY MATERIALS","2574-0962","2574-0962","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036"
"ACS APPLIED MATERIALS & INTERFACES","1944-8244","1944-8252","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036"
"ACS APPLIED NANO MATERIALS","2574-0970","2574-0970","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036"
"ACS BIOMATERIALS SCIENCE & ENGINEERING","2373-9878","2373-9878","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036"
"ACS CATALYSIS","2155-5435","2155-5435","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036"
"ACS CENTRAL SCIENCE","2374-7943","2374-7951","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036"
"ACS CHEMICAL BIOLOGY","1554-8929","1554-8937","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036"
"ACS CHEMICAL NEUROSCIENCE","1948-7193","1948-7193","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036"
"ACS COMBINATORIAL SCIENCE","2156-8952","2156-8944","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036"
"ACS EARTH AND SPACE CHEMISTRY","2472-3452","2472-3452","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036"
"ACS ENERGY LETTERS","2380-8195","2380-8195","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036"
"ACS INFECTIOUS DISEASES","2373-8227","2373-8227","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036"
"ACS MACRO LETTERS","2161-1653","2161-1653","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036"
"ACS MEDICINAL CHEMISTRY LETTERS","1948-5875","1948-5875","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036"
"ACSMS HEALTH & FITNESS JOURNAL","1091-5397","1536-593X","LIPPINCOTT WILLIAMS & WILKINS","TWO COMMERCE SQ, 2001 MARKET ST, PHILADELPHIA, USA, PA, 19103"
"ACS NANO","1936-0851","1936-086X","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036"
"ACS OMEGA","2470-1343","2470-1343","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036"
"ACS PHOTONICS","2330-4022","2330-4022","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036"
"ACS SENSORS","2379-3694","2379-3694","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036"
"ACS SUSTAINABLE CHEMISTRY & ENGINEERING","2168-0485","2168-0485","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036"
"ACS SYNTHETIC BIOLOGY","2161-5063","2161-5063","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036"
"ACTA ACUSTICA UNITED WITH ACUSTICA","1610-1928","2681-4617","S HIRZEL VERLAG","POSTFACH 10 10 61, STUTTGART, GERMANY, D-70 009"
"ACTA ADRIATICA","0001-5113","1846-0453","INST OCEANOGRAFIJU I RIBARSTVO","SETALISTE I MESTROVICA 63, SPLIT, CROATIA, 21000"
"ACTA AGRICULTURAE SCANDINAVICA SECTION A-ANIMAL SCIENCE","0906-4702","1651-1972","TAYLOR & FRANCIS AS","KARL JOHANS GATE 5, OSLO, NORWAY, NO-0154"
"ACTA AGRICULTURAE SCANDINAVICA SECTION B-SOIL AND PLANT SCIENCE","0906-4710","1651-1913","TAYLOR & FRANCIS AS","KARL JOHANS GATE 5, OSLO, NORWAY, NO-0154"
"ACTA ALIMENTARIA","0139-3006","1588-2535","AKADEMIAI KIADO ZRT","BUDAFOKI UT 187-189-A-3, BUDAPEST, HUNGARY, H-1117"
"ACTA AMAZONICA","0044-5967","1809-4392","INST NACIONAL PESQUISAS AMAZONIA","CAIXA POSTAL 478,  ALAMEDA COSME FERREIRA, 1756, MANAUS, BRAZIL, AMAZONAS, 00000"
"ACTA ANAESTHESIOLOGICA SCANDINAVICA","0001-5172","1399-6576","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774"
"ACTA APPLICANDAE MATHEMATICAE","0167-8019","1572-9036","SPRINGER","VAN GODEWIJCKSTRAAT 30, DORDRECHT, NETHERLANDS, 3311 GZ"
"ACTA ARITHMETICA","0065-1036","1730-6264","POLISH ACAD SCIENCES INST MATHEMATICS-IMPAN","8 SNIADECKICH ST, WARSZAWA, POLAND, PL 00 656"
"ACTA ASTRONAUTICA","0094-5765","1879-2030","PERGAMON-ELSEVIER SCIENCE LTD","THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OX5 1GB"
"ACTA ASTRONOMICA","0001-5237","0001-5237","COPERNICUS FOUNDATION POLISH  ASTRONOMY","AL UJAZDOWSKIE 4, WARSAW, POLAND, 00-478"
"ACTA BIOCHIMICA ET BIOPHYSICA SINICA","1672-9145","1745-7270","OXFORD UNIV PRESS","GREAT CLARENDON ST, OXFORD, ENGLAND, OX2 6DP"
"ACTA BIOCHIMICA POLONICA","0001-527X","1734-154X","ACTA BIOCHIMICA POLONICA","PASTEURA 3, WARSAW, POLAND, 02-093"
"ACTA BIOETHICA","1726-569X","1726-569X","UNIV CHILE, CENTRO INTERDISCIPLINARIO ESTUDIOS BIOETICA","DIAGONAL PARAGUAY #265, TORRE 15, PISO 8, SANTIAGO, CHILE, 00000"
"ACTA BIOLOGICA COLOMBIANA","1900-1649","1900-1649","UNIV NAC COLOMBIA, FAC CIENCIAS, DEPT BIOL","APARTADO AEREO 14490, BOGOTA, COLOMBIA, 00000"
"ACTA BIOLOGICA CRACOVIENSIA SERIES BOTANICA","0001-5296","1898-0295","POLSKA AKAD NAUK, POLISH ACAD SCIENCES, PAS BRANCH CRACOW","PL DEFILAD 1, WARSZAWA, POLAND, 00-901"
"ACTA BIOMATERIALIA","1742-7061","1878-7568","ELSEVIER SCI LTD","THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OXON, OX5 1GB"
"ACTA BIOQUIMICA CLINICA LATINOAMERICANA","0325-2957","1851-6114","FEDERACION BIOQUIMICA PROVINCIA BUENOS AIRES","CALLE 6, NO. 1344, LA PLATA, BUENOS AIRES, ARGENTINA, 1900"
"ACTA BIOTHEORETICA","0001-5342","1572-8358","SPRINGER","VAN GODEWIJCKSTRAAT 30, DORDRECHT, NETHERLANDS, 3311 GZ"
"ACTA BOTANICA BRASILICA","0102-3306","1677-941X","SOC BOTANICA BRASIL","CAIXA POSTAL 3005, SAO PAULO SP, BRAZIL, 01061-970"
"ACTA BOTANICA CROATICA","0365-0588","1847-8476","UNIV ZAGREB, FAC SCIENCE, DIV BIOLOGY","C/O DAMIR VILICIC, EDITOR-IN-CHIEF, DEPARTMENT OF BOTANY, ROOSEVELTOV TRG 6, ZAGREB, CROATIA, 00000"
"ACTA BOTANICA MEXICANA","0187-7151","2448-7589","INST ECOLOGIA AC","CENTRO REGIONAL DEL BAJIO, APARTADO POSTAL 386, PATZCUARO, MEXICO, MICHOACAN, 61600"
"ACTA CARDIOLOGICA","0001-5385","1784-973X","TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, England, OXON, OX14 4RN"
"ACTA CARDIOLOGICA SINICA","1011-6842","","TAIWAN SOC CARDIOLOGY","13F-1, NO. 11, MIN-CHUAN WEST ROAD, TAIPEI, TAIWAN, 104"
"ACTA CARSOLOGICA","0583-6050","1580-2612","KARST RESEARCH INST ZRC SAZU","TITOV TRG 2, POSTOJNA, SLOVENIA, SI-6230"
"ACTA CHIMICA SINICA","0567-7351","","SCIENCE PRESS","16 DONGHUANGCHENGGEN NORTH ST, BEIJING, PEOPLES R CHINA, 100717"
"ACTA CHIMICA SLOVENICA","1318-0207","1580-3155","SLOVENSKO KEMIJSKO DRUSTVO","HAJDRIHOVA 19, LJUBLJANA, SLOVENIA, 1000"
"ACTA CHIROPTEROLOGICA","1508-1109","1733-5329","MUSEUM & INST ZOOLOGY PAS-POLISH ACAD SCIENCES","WILCZA STREET 64, WARSAW, POLAND, 00-679"
"ACTA CHIRURGIAE ORTHOPAEDICAE ET TRAUMATOLOGIAE CECHOSLOVACA","0001-5415","","GALEN SRO","NA BELIDLE 34, PRAGUE 5, CZECH REPUBLIC, 150 00"
"ACTA CHIRURGICA BELGICA","0001-5458","","ACTA MEDICAL BELGICA","AVENUE CIRCULAIRE 138 A, BRUSSELS, BELGIUM, B-1180"
"ACTA CHROMATOGRAPHICA","1233-2356","2083-5736","AKADEMIAI KIADO ZRT","BUDAFOKI UT 187-189-A-3, BUDAPEST, HUNGARY, H-1117"
"ACTA CIRURGICA BRASILEIRA","0102-8650","1678-2674","ACTA CIRURGICA BRASILEIRA","ALAMEDA RIO CLARO, 179-41, SAO PAULO, BRAZIL, SP, 01332-010"
"ACTA CLINICA BELGICA","1784-3286","2295-3337","TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, England, OXON, OX14 4RN"
"ACTA CLINICA CROATICA","0353-9466","1333-9451","SESTRE MILOSRDNICE UNIV HOSPITAL","VINOGRADSKA C 29, ZAGREB, CROATIA, HR-10000"
"ACTA CRYSTALLOGRAPHICA A-FOUNDATION AND ADVANCES","2053-2733","2053-2733","INT UNION CRYSTALLOGRAPHY","2 ABBEY SQ, CHESTER, ENGLAND, CH1 2HU"
"ACTA CRYSTALLOGRAPHICA SECTION B-STRUCTURAL SCIENCE CRYSTAL ENGINEERING AND MATERIALS","2052-5206","2052-5206","INT UNION CRYSTALLOGRAPHY","2 ABBEY SQ, CHESTER, ENGLAND, CH1 2HU"
"ACTA CRYSTALLOGRAPHICA SECTION C-STRUCTURAL CHEMISTRY","2053-2296","2053-2296","INT UNION CRYSTALLOGRAPHY","2 ABBEY SQ, CHESTER, ENGLAND, CH1 2HU"
"ACTA CRYSTALLOGRAPHICA SECTION D-STRUCTURAL BIOLOGY","2059-7983","2059-7983","INT UNION CRYSTALLOGRAPHY","2 ABBEY SQ, CHESTER, ENGLAND, CH1 2HU"
"ACTA CRYSTALLOGRAPHICA SECTION F-STRUCTURAL BIOLOGY COMMUNICATIONS","2053-230X","2053-230X","INT UNION CRYSTALLOGRAPHY","2 ABBEY SQ, CHESTER, ENGLAND, CH1 2HU"
"ACTA CYTOLOGICA","0001-5547","1938-2650","KARGER","ALLSCHWILERSTRASSE 10, BASEL, SWITZERLAND, CH-4009"
"ACTA DERMATO-VENEREOLOGICA","0001-5555","1651-2057","ACTA DERMATO-VENEREOLOGICA","TRADGARDSGATAN 14, UPPSALA, SWEDEN, SE-753 09"
"ACTA DERMATOVENEROLOGICA CROATICA","1330-027X","1847-6538","CROATION DERMATOVENEROLOGICAL SOC","ZAGREB UNIV HOSPITAL CTR, UNIV DEPT DERMATOLOGY & VENEROLOGY, SALATA 4, ZAGREB, CROATIA, 10000"
"ACTA DIABETOLOGICA","0940-5429","1432-5233","SPRINGER-VERLAG ITALIA SRL","VIA DECEMBRIO, 28, MILAN, ITALY, 20137"
"ACTA ENDOCRINOLOGICA-BUCHAREST","1841-0987","1843-066X","EDITURA ACAD ROMANE","CALEA 13 SEPTEMBRIE NR 13, SECTOR 5, BUCURESTI, ROMANIA, 050711"
"ACTA ENTOMOLOGICA MUSEI NATIONALIS PRAGAE","0374-1036","1804-6487","NARODNI MUZEUM - PRIRODOVEDECKE MUZEUM","KUNRATICE, PRAHA, CZECH REPUBLIC, CZ-148 00"
"ACTA ETHOLOGICA","0873-9749","1437-9546","SPRINGER HEIDELBERG","TIERGARTENSTRASSE 17, HEIDELBERG, GERMANY, D-69121"
"ACTA GASTRO-ENTEROLOGICA BELGICA","1784-3227","","UNIV CATHOLIQUE LOUVAIN-UCL","CLIN UNIV SAINT LUC, AVE HIPPOCRATE 10, BRUSSELS, BELGIUM, B-1200"
"ACTA GEODAETICA ET GEOPHYSICA","2213-5812","2213-5820","SPRINGER","ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004"
"ACTA GEODYNAMICA ET GEOMATERIALIA","1214-9705","","ACAD SCI CZECH REPUBLIC INST ROCK STRUCTURE & MECHANICS","IRSM AS CR, V HOLESOVICKACH 41, PRAGUE 8, CZECH REPUBLIC, 182 09"
"ACTA GEOGRAPHICA SLOVENICA-GEOGRAFSKI ZBORNIK","1581-6613","1854-5106","GEOGRAFSKI INST ANTONA MELIKA ZRC SAZU","GOSPOSKA ULICA 13, LJUBLJANA, SLOVENIA, SI-1000"
"ACTA GEOLOGICA POLONICA","0001-5709","2300-1887","POLSKA AKAD NAUK, POLISH ACAD SCIENCES, UNIV WARSAW, GEOLOGY DEPT","PL DEFILAD 1, WARSZAWA, POLAND, 00-901"
"ACTA GEOLOGICA SINICA-ENGLISH EDITION","1000-9515","1755-6724","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774"
"ACTA GEOPHYSICA","1895-6572","1895-7455","SPRINGER INTERNATIONAL PUBLISHING AG","GEWERBESTRASSE 11, CHAM, SWITZERLAND, CH-6330"
"ACTA GEOTECHNICA","1861-1125","1861-1133","SPRINGER HEIDELBERG","TIERGARTENSTRASSE 17, HEIDELBERG, GERMANY, D-69121"
"ACTA GEOTECHNICA SLOVENICA","1854-0171","","UNIV MARIBOR","FAC CIVIL ENGINEERING, TRANSPORTATION ENGINEERING & ARCHITECTURE, SMETANOVA ULICA 17, MARIBOR, SLOVENIA, 2000"
"ACTA HAEMATOLOGICA","0001-5792","1421-9662","KARGER","ALLSCHWILERSTRASSE 10, BASEL, SWITZERLAND, CH-4009"
"ACTA HERPETOLOGICA","1827-9635","1827-9643","FIRENZE UNIV PRESS","JOURNALS DIVISION, BORGO ALBIZI, 28, FIRENZE, ITALY, 50122"
"ACTA HISTOCHEMICA","0065-1281","1618-0372","ELSEVIER GMBH","HACKERBRUCKE 6, MUNICH, GERMANY, 80335"
"ACTA HISTOCHEMICA ET CYTOCHEMICA","0044-5991","1347-5800","JAPAN SOC HISTOCHEMISTRY & CYTOCHEMISTRY","C/O NAKANISHI PRINTING CO LTD, SHIMODACHIURI-OGAWA, KAMIGYO-KU, KYOTO, JAPAN, 602-8048"
"ACTA ICHTHYOLOGICA ET PISCATORIA","0137-1592","1734-1515","WYDAWNICTWO AKAD ROLNICZEJ W SZCZECINIE","KAZIMIERZA KROLEWICZA 4, SZCZECIN, POLAND, 71550"
"ACTA INFORMATICA","0001-5903","1432-0525","SPRINGER","ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004"
"ACTA MATERIALIA","1359-6454","1873-2453","PERGAMON-ELSEVIER SCIENCE LTD","THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OX5 1GB"
"ACTA MATHEMATICA","0001-5962","1871-2509","INT PRESS BOSTON, INC","PO BOX 43502, SOMERVILLE, USA, MA, 02143"
"ACTA MATHEMATICAE APPLICATAE SINICA-ENGLISH SERIES","0168-9673","1618-3932","SPRINGER HEIDELBERG","TIERGARTENSTRASSE 17, HEIDELBERG, GERMANY, D-69121"
"ACTA MATHEMATICA HUNGARICA","0236-5294","1588-2632","SPRINGER","VAN GODEWIJCKSTRAAT 30, DORDRECHT, NETHERLANDS, 3311 GZ"
"ACTA MATHEMATICA SCIENTIA","0252-9602","1572-9087","SPRINGER","ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004"
"ACTA MATHEMATICA SINICA-ENGLISH SERIES","1439-8516","1439-7617","SPRINGER HEIDELBERG","TIERGARTENSTRASSE 17, HEIDELBERG, GERMANY, D-69121"
"ACTA MECHANICA","0001-5970","1619-6937","SPRINGER WIEN","SACHSENPLATZ 4-6, PO BOX 89, WIEN, AUSTRIA, A-1201"
"ACTA MECHANICA SINICA","0567-7718","1614-3116","SPRINGER HEIDELBERG","TIERGARTENSTRASSE 17, HEIDELBERG, GERMANY, D-69121"
"ACTA MECHANICA SOLIDA SINICA","0894-9166","1860-2134","SPRINGER","ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004"
"ACTA MEDICA MEDITERRANEA","0393-6384","2283-9720","CARBONE EDITORE","VIA QUINTINO SELLA, 68, PALERMO, ITALY, 90139"
"ACTA MEDICA OKAYAMA","0386-300X","0386-300X","OKAYAMA UNIV MED SCHOOL","EDITORIAL OFFICE, ACTA MEDICA OKAYAMA OKAYAMA UNIVERSITY MEDICAL SCHOOL 2-5-1 SHIKATA-CHO, KITA-KU, OKAYAMA, JAPAN, 700-8558"
