"Journal title","ISSN","eISSN","Publisher name","Publisher address"
"ACCOUNTING IN EUROPE","1744-9480","1744-9499","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN"
"ACCOUNTING PERSPECTIVES","1911-382X","1911-3838","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774"
"ACCOUNTING RESEARCH JOURNAL","1030-9616","1839-5465","EMERALD GROUP PUBLISHING LTD","HOWARD HOUSE, WAGON LANE, BINGLEY, ENGLAND, W YORKSHIRE, BD16 1WA"
"ACE-ARCHITECTURE CITY AND ENVIRONMENT","1886-4805","1886-4805","UNIV POLITECNICA CATALUNYA","AVDA DIAGONAL 649, BARCELONA, SPAIN, 08028"
"ACESSO LIVRE","2319-0698","2319-0698","ASSOC SERVIDORES ARQUIVO NACIONAL","PRACA REPUBLICA, 173,BLOCO E CENTRO, RIO DE JANEIRO, BRAZIL, 20211-350"
"ACG CASE REPORTS JOURNAL","2326-3253","2326-3253","LIPPINCOTT WILLIAMS & WILKINS","TWO COMMERCE SQ, 2001 MARKET ST, PHILADELPHIA, USA, PA, 19103"
"ACM COMMUNICATIONS IN COMPUTER ALGEBRA","1932-2232","1932-2240","ASSOC COMPUTING MACHINERY","2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701"
"ACME-ANNALI DELLA FACOLTA DI STUDI UMANISTICI DELL UNIVERSITA DEGLI STUDI DI MILANO","0001-494X","2282-0035","UNIV STUDI MILANO","C/O RIVISTA ITALIANA PALEONTOLOGIA STRATIGRAFIA, VIA MANGIAGALLI, 34, MILANO, ITALY, 20133"
"ACM JOURNAL OF DATA AND INFORMATION QUALITY","1936-1955","1936-1955","ASSOC COMPUTING MACHINERY","2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701"
"ACM TRANSACTIONS ON ACCESSIBLE COMPUTING","1936-7228","1936-7236","ASSOC COMPUTING MACHINERY","2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701"
"ACM TRANSACTIONS ON COMPUTATION THEORY","1942-3454","1942-3462","ASSOC COMPUTING MACHINERY","2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701"
"ACM TRANSACTIONS ON CYBER-PHYSICAL SYSTEMS","2378-962X","2378-9638","ASSOC COMPUTING MACHINERY","2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701"
"ACM TRANSACTIONS ON ECONOMICS AND COMPUTATION","2167-8375","2167-8383","ASSOC COMPUTING MACHINERY","2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701"
"ACM TRANSACTIONS ON HUMAN-ROBOT INTERACTION","","2573-9522","ASSOC COMPUTING MACHINERY","2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701"
"ACM TRANSACTIONS ON MANAGEMENT INFORMATION SYSTEMS","2158-656X","2158-6578","ASSOC COMPUTING MACHINERY","2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701"
"ACM TRANSACTIONS ON MODELING AND PERFORMANCE EVALUATION OF COMPUTING SYSTEMS","2376-3639","2376-3647","ASSOC COMPUTING MACHINERY","2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701"
"ACM TRANSACTIONS ON PARALLEL COMPUTING","2329-4949","2329-4957","ASSOC COMPUTING MACHINERY","2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701"
"ACM TRANSACTIONS ON SPATIAL ALGORITHMS AND SYSTEMS","2374-0353","2374-0361","ASSOC COMPUTING MACHINERY","2 PENN PLAZA, STE 701, NEW YORK, USA, NY, 10121-0701"
"ACOUSTICAL SCIENCE AND TECHNOLOGY","1346-3969","1347-5177","ACOUSTICAL SOC JAPAN","NAKAURA 5TH-BLDG. 2F, 2-18-20 SOTOKANDA, CHIYODA-KU, TOKYO, JAPAN, 101-0021"
"ACQUE SOTTERRANEE-ITALIAN JOURNAL OF GROUNDWATER","1828-454X","1828-454X","PAGEPRESS PUBL","MEDITGROUP, VIA G BELLI, 4, PAVIA, ITALY, 27100"
"A&C-REVISTA DE DIREITO ADMINISTRATIVO & CONSTITUCIONAL","1516-3210","1984-4182","EDITORA FORUM","AV AFONSO PENA 2770, 15-16 ANDAR, BAIRRO FUNCIONARIOS, BELO HORIZONTE, MINAS GERAIS, BRAZIL, 00000"
"ACS APPLIED ELECTRONIC MATERIALS","2637-6113","2637-6113","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036"
"ACS APPLIED POLYMER MATERIALS","2637-6105","2637-6105","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036"
"ACS MATERIALS LETTERS","2639-4979","2639-4979","AMER CHEMICAL SOC","1155 16TH ST, NW, WASHINGTON, USA, DC, 20036"
"ACTA AGROBOTANICA","0065-0951","2300-357X","POLSKIE TOWARZYSTWO BOTANICZNE","AL UJAZDOWSKIE 4, WARSAW, POLAND, 00-478"
"ACTA ANAESTHESIOLOGICA BELGICA","0001-5164","","ACTA MEDICAL BELGICA","AVENUE CIRCULAIRE 138 A, BRUSSELS, BELGIUM, B-1180"
"ACTA ANGIOLOGICA","1234-950X","1644-3276","VIA MEDICA","UL SWIETOKRZYSKA 73, GDANSK, POLAND, 80-180"
"ACTA BALNEOLOGICA","2082-1867","2082-1867","WYDAWNICTWO ALUNA","UL Z M PRZESMYCKIEGO 29, KONSTANCIN-JEZIORNA, POLAND, 05510"
"ACTA BALTICO-SLAVICA","0065-1044","2392-2389","POLISH ACAD SCIENCES, INST SLAVIC STUDIES","BARTOSZEWICZA 1B-17, WARSAW, POLAND, 00-337"
"ACTA BIOCLINICA","2244-8136","2244-8136","UNIV LOS ANDES, VENEZUELA","SCH DENTISTRY, DENTAL RES CTR, BLDG DEPUTY RECTOR, MERIDA, VENEZUELA, 00000"
"ACTA BRASILIENSIS","2526-432X","2526-4338","UNIV FEDERAL CAMPINA GRANDE","RUA APRIGIO VELOSO 882, BODO CONGO, CAMPINA GRANDE PB, BRAZIL, 58109 090"
"ACTA CHEMICA IASI","2067-2438","2067-2446","SCIENDO","DE GRUYTER POLAND SP Z O O, BOGUMILA ZUGA 32A STR, WARSAW, POLAND, 01-811"
"ACTA CHIMICA SLOVACA","1337-978X","1337-978X","SCIENDO","DE GRUYTER POLAND SP Z O O, BOGUMILA ZUGA 32A STR, WARSAW, POLAND, 01-811"
"ACTA COLOMBIANA DE PSICOLOGIA","0123-9155","1909-9711","UNIV CATOLICA COLOMBIA, FAC PSICOLOGIA","CARRERA 13 NO 47-49, BOGOTA D C, COLOMBIA, 00000"
"ACTA CRYSTALLOGRAPHICA SECTION E-CRYSTALLOGRAPHIC COMMUNICATIONS","2056-9890","2056-9890","INT UNION CRYSTALLOGRAPHY","2 ABBEY SQ, CHESTER, ENGLAND, CH1 2HU"
"ACTA CYBERNETICA","0324-721X","0324-721X","UNIV SZEGED, FAC SCIENCE","C/O E SZABO, EXCHANGE LIBRARIAN, DUGONICS TER 13, PO BOX 393, SZEGED, HUNGARY, 6701"
"ACTA DERMATOVENEROLOGICA ALPINA PANNONICA ET ADRIATICA","1318-4458","1581-2979","DERMATOVENEROLOGICAL SOC SLOVENIA","DERMATOLOSKA KLINIKA, ZALOSKA 2, LJUBLJANA, SLOVENIA, 1525"
"ACTA ET COMMENTATIONES UNIVERSITATIS TARTUENSIS DE MATHEMATICA","1406-2283","2228-4699","UNIV TARTU PRESS","1 W STRUVE ST, TARTU, ESTONIA, 50091"
"ACTA FACULTATIS MEDICAE NAISSENSIS","0351-6083","2217-2521","SCIENDO","DE GRUYTER POLAND SP Z O O, BOGUMILA ZUGA 32A STR, WARSAW, POLAND, 01-811"
"ACTA FACULTATIS XYLOLOGIAE ZVOLEN","1336-3824","1336-3824","TECHNICKA UNIV ZVOLENE","UL T G MASARYKA 2117-24, ZVOLEN, SLOVAKIA, 96053"
"ACTA GEOCHIMICA","2096-0956","2365-7499","SPRINGER INTERNATIONAL PUBLISHING AG","GEWERBESTRASSE 11, CHAM, SWITZERLAND, CH-6330"
"ACTA GERMANICA-GERMAN STUDIES IN AFRICA","0065-1273","0065-1273","PETER LANG GMBH","EUROPAISCHER VERLAG WISSENSCH JUPITERSTRASSE 15, BERN 15, SWITZERLAND, CH-3000"
"ACTA GYMNICA","2336-4912","2336-4920","UNIV PALACKEHO & OLOMOUCI, FAK TELESNE KULTURY","TR MIRU 115, OLOMOUC, CZECH REPUBLIC, 77111"
"ACTA KINESIOLOGICA","1840-2976","1840-3700","DRUSTVO PEDAGOGA TJELESNE & ZDRAVSTVENE KULTURE","TESKERA-PUT ZA CRVENI GRM BB, LJUBUSKI, BOSNIA & HERCEG, 88320"
"ACTA MATHEMATICA UNIVERSITATIS COMENIANAE","0231-6986","0862-9544","COMENIUS UNIV","SCH MEDICINE, SPITALSKA 24, BRATISLAVA I, SLOVAKIA, SK-813 72"
"ACTA MATHEMATICA VIETNAMICA","0251-4184","2315-4144","SPRINGER SINGAPORE PTE LTD","#04-01 CENCON I, 1 TANNERY RD, SINGAPORE, SINGAPORE, 347719"
"ACTA MECHANICA ET AUTOMATICA","1898-4088","2300-5319","SCIENDO","DE GRUYTER POLAND SP Z O O, BOGUMILA ZUGA 32A STR, WARSAW, POLAND, 01-811"
"ACTA MEDICA INDONESIANA","0125-9326","2338-2732","UNIV INDONESIA, FAC MEDICINE","JALAN SALEMBA 6, JAKARTA PUSAT, INDONESIA, 10430"
"ACTA MEDICO-HISTORICA ADRIATICA","1334-4366","1334-6253","CROATIAN SCIENTIFIC SOC HISTORY HEALTH CULTURE","BRACE BRANCHETTA 20, RIJEKA, CROATIA, 51000"
"ACTA METALLURGICA SLOVACA","1335-1532","1338-1156","SCICELL SRO","MOJZESOVO 18, MOJZESOVO, SLOVAKIA, 94104"
"ACTA MISSIOLOGICA","1337-7515","2453-7160","ST ELIZABETH UNIV HEALTH & SOCIAL WORK BRATISLAVA","BRATISLAVA-OLD TOWN, BRATISLAVA, SLOVAKIA, 00000"
"ACTA NEOPHILOLOGICA","0567-784X","2350-417X","LJUBLJANA UNIV PRESS, FAC ARTS","DEPT ROMANCE LANGUAGES & LITERATURES,, ASKERCEVA 2, SLOVENIA, LJUBLJANA, SI-1000"
"ACTA NEUROPSYCHOLOGICA","1730-7503","2084-4298","MEDSPORTPRESS PUBLISHING HOUSE","UL MARYMONCKA 34 SKR 23, WARSAW, POLAND, 01813"
"ACTA OTO-LARYNGOLOGICA CASE REPORTS","2377-2484","2377-2484","TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, England, OXON, OX14 4RN"
"ACTA OTORRINOLARINGOLOGICA ESPANOLA","0001-6519","1988-3013","ELSEVIER ESPANA SLU","AV JOSEP TARRADELLAS, 20-30, 1ERA PLANTA, BARCELONA, SPAIN, CP-08029"
"ACTA PEDIATRICA DE MEXICO","0186-2391","2395-8235","INST NAC PEDIATRIA","AVE INSURGENTES SUR NO 3700-C, COL INSURGENTES CUICUILCO, MEXICO D F, MEXICO, 04530"
"ACTA PHLEBOLOGICA","1593-232X","1827-1766","EDIZIONI MINERVA MEDICA","CORSO BRAMANTE 83-85 INT JOURNALS DEPT., TURIN, ITALY, 10126"
"ACTA PHOTONICA SINICA","1004-4213","1004-4213","SCIENCE PRESS","300 WEST CHESNUT ST, EPHRATA, USA, PA, 17522"
"ACTA POLYTECHNICA","1210-2709","1805-2363","CZECH TECHNICAL UNIV PRAGUE","ZIKOVA 4, PRAGUE 6, CZECH REPUBLIC, 16636"
"ACTA PSIQUIATRICA Y PSICOLOGICA DE AMERICA LATINA","0001-6896","","FUNDACION ACTA","FONDO PARA LA SALUD MENTAL MALABIA 2274 13 A, BUENOS AIRES, ARGENTINA,"
"ACTA PSYCHOLOGICA SINICA","0439-755X","","SCIENCE PRESS","16 DONGHUANGCHENGGEN NORTH ST, BEIJING, PEOPLES R CHINA, 100717"
"ACTA RADIOLOGICA OPEN","2058-4601","2058-4601","SAGE PUBLICATIONS LTD","1 OLIVERS YARD, 55 CITY ROAD, LONDON, ENGLAND, EC1Y 1SP"
"ACTA SCIENTIARUM-HEALTH SCIENCES","1679-9291","1807-8648","UNIV ESTADUAL MARINGA, PRO-REITORIA PESQUISA POS-GRADUACAO","AV. COLOMBO, 5790, DIVISAO DE DIVULGACAO CIENTIFICA, MARINGA, BRAZIL, PR, 87020-900"
"ACTA SCIENTIARUM MATHEMATICARUM","0001-6969","0001-6969","UNIV SZEGED, BOLYAI INSTITUTE","ARADI VERTANUK TERE 1, SZEGED, HUNGARY, 6720"
"ACTA SCIENTIARUM POLONORUM-FORMATIO CIRCUMIECTUS","1644-0765","1644-0765","WYDAWNICTWO UNIWERSYTETU ROLNICZEGO HUGONA KOLLATAJA KRAKOWIE","AL 29 LISTOPADA 46, KRAKOW, POLAND, 31425"
"ACTA SCIENTIARUM POLONORUM-TECHNOLOGIA ALIMENTARIA","1644-0730","1898-9594","POZNAN UNIV LIFE SCIENCES","UL WITOSA 45, POZNAN, POLAND, 61-693"
"ACTAS DERMO-SIFILIOGRAFICAS","0001-7310","1578-2190","ELSEVIER ESPANA","CALLE DE ZURBANO, 76-4TH FLR LEFT, MADRID, SPAIN, 28010"
"ACTA SILVAE ET LIGNI","2335-3112","2335-3953","GOZDARSKI INST SLOVENIJE","VECNA POT 2, LJUBLJANA, SLOVENIA, 00000"
"ACTA STOMATOLOGICA CROATICA","0001-7019","1846-0410","UNIV ZAGREB, SCH DENTAL MEDICINE","GUNDULICEVA 5, ZAGREB, CROATIA, HR-10 000"
"ACTA STRUCTILIA","1023-0564","2415-0487","UNIV FREE STATE, DEPT QUANTITY SURVEYING & CONSTRUCTION MANAGEMENT","PO BOX 339, BLOEMFONTEIN, SOUTH AFRICA, 9300"
"ACTA TECHNICA NAPOCENSIS SERIES-APPLIED MATHEMATICS MECHANICS AND ENGINEERING","1221-5872","1221-5872","TECHNICAL UNIV CLUJ-NAPOCA, FAC MACHINE BUILDING DEPT SYSTEMS ENG","B-DUL MUNCII NR 103105, RM C01, CLUJ-NAPOCA, ROMANIA, CP 400 641"
"ACTA TECHNOLOGICA AGRICULTURAE","1335-2555","1338-5267","SLOVAK UNIV AGRICULTURE NITRA","TR A HLINKU2, NITRA, SLOVAKIA, 94976"
"ACTA TURISTICA","0353-4316","1848-6061","EKONOMSKI FAK SVEUCILISTA, KATEDRA TRGOVINU & TURIZAM","TRG J F KENNEDYJA 6, ZAGREB, CROATIA, 10000"
"ACTA UNIVERSITATIS SAPIENTIAE-FILM AND MEDIA STUDIES","2065-5924","2066-7779","SCIENDO","DE GRUYTER POLAND SP Z O O, BOGUMILA ZUGA 32A STR, WARSAW, POLAND, 01-811"
"ACTA UNIVERSITATIS SAPIENTIAE INFORMATICA","1844-6086","2066-7760","SCIENDO","DE GRUYTER POLAND SP Z O O, BOGUMILA ZUGA 32A STR, WARSAW, POLAND, 01-811"
"ACTA UNIVERSITATIS SAPIENTIAE-MATHEMATICA","1844-6094","2066-7752","SCIENDO","DE GRUYTER POLAND SP Z O O, BOGUMILA ZUGA 32A STR, WARSAW, POLAND, 01-811"
"ACTA VETERINARIA EURASIA","2618-639X","2619-905X","ISTANBUL UNIV-CERRAHAPASA","ISTANBUL UNIV-CERRAHAPASA, ISTANBUL, TURKEY, AVCILAR, 34320"
"ACTION LEARNING","1476-7333","1476-7341","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN"
"ACTIVE AND PASSIVE ELECTRONIC COMPONENTS","0882-7516","1563-5031","HINDAWI LTD","ADAM HOUSE, 3RD FLR, 1 FITZROY SQ, LONDON, ENGLAND, W1T 5HF"
"ACTIVITAS NERVOSA SUPERIOR REDIVIVA","1337-933X","1338-4015","SLOVAK ACAD SCIENCES, INST NORMAL & PATHOLOGICAL PHYSIOLOGY","SIENKIEWICZOVA 1, BRATISLAVA, SLOVAKIA, 81371"
"ACTIVITAT PARLAMENTARIA","1577-7162","2339-5591","GENERALITAT CATALUNYA, DEPT GOVERNACIO & RELACIONS INST","CARRER TAPINERIA, 10, 3A PLANTA, BARCELONA, SPAIN, 08002"
"ACTIVITES-REVUE ELECTRONIQUE","1765-2723","1765-2723","ASSOC RECHERCHE & PRATIQUE ACTIVITES","ASSOC RECHERCHE & PRATIQUE ACTIVITES, PARIS, FRANCE, 00000"
"ACTIVITIES ADAPTATION & AGING","0192-4788","1544-4368","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN"
"ACTUALIDAD CONTABLE FACES","1316-8533","1316-8533","UNIV ANDES, FAC CIENCIAS ECONOMICAS & SOCIALES","NUCLEO LIRIA, EDIF F, PISO 1, AV AMERICAS, MERIDA, VENEZUELA, 00000"
"ACTUALIDADES EN PSICOLOGIA","0258-6444","2215-3535","UNIV COSTA RICA, INST INVESTIGACION PSICOLOGICAS","CALLE 1, SAN PEDRO, COSTA RICA, 00000"
"ACTUALIDADES PEDAGOGICAS","0120-1700","2389-8755","UNIV LA SALLE","CRA 7 NRO 172 85, CUNDINAMARCA, BOGOTA, COLOMBIA, 00000"
"ACTUALIDAD JURIDICA AMBIENTAL","1989-5666","1989-5666","CENTRO INT ESTUDIOS DERECHO AMBIENTAL-CIEDA-CIEMAT","PLAZA BERNARDO ROBLES, 9, SORIA, SPAIN, 42002"
"ACTUALITE ECONOMIQUE","0001-771X","1710-3991","ECOLE DES HAUTES ETUDES COMMER","5255 AVE DECELLES, MONTREAL, CANADA, QUEBEC, H3T 1V6"
"ACTUALITES PHARMACEUTIQUES","0515-3700","0515-3700","ELSEVIER MASSON, CORPORATION OFFICE","65 CAMILLE DESMOULINS CS50083 ISSY-LES-MOULINEAUX, PARIS, FRANCE, 92442"
"ACTUALIZACIONES EN OSTEOLOGIA","1669-8975","1669-8983","ASOC ARGENTINA OSTEOLOGIA & METABOLISMO MINERAL","COSQUIN 1673, BARRIO JARDIN, CORDOBA, ARGENTINA, 5014"
"ACUTE AND CRITICAL CARE","2586-6052","2586-6060","KOREAN SOC CRITICAL CARE MEDICINE","806 YONG SEONG BIZTEL BLDG, 109 HANGANG-DAERO, YONGSAN-GU, SEOUL, SOUTH KOREA, 04376"
"ACUTE MEDICINE & SURGERY","2052-8817","2052-8817","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774"
"AD ALTA-JOURNAL OF INTERDISCIPLINARY RESEARCH","1804-7890","1804-7890","MAGNANIMITAS","CESKOSLOVENSKE ARMADY 300, HRADEC KRALOVE, CZECH REPUBLIC, 500 03"
"ADAMANTIUS","1126-6244","","EDITRICE MORCELLIANA SPA","VIA GABRIELE ROSA 71, BRESCIA, ITALY, BS 25121"
"ADAPTIVE HUMAN BEHAVIOR AND PHYSIOLOGY","2198-7335","2198-7335","SPRINGER HEIDELBERG","TIERGARTENSTRASSE 17, HEIDELBERG, GERMANY, D-69121"
"ADCAIJ-ADVANCES IN DISTRIBUTED COMPUTING AND ARTIFICIAL INTELLIGENCE JOURNAL","2255-2863","2255-2863","EDICIONES UNIV SALAMANCA","APARTADO DE CORREOS 325, SALAMANCA, SPAIN, 00000"
"ADCOMUNICA-REVISTA CIENTIFICA DE ESTRATEGIAS TENDENCIAS E INNOVACION EN COMMUNICACION","2174-0992","2254-2728","ASOC DESARROLLO COMUNICACION","DESPACHO RR 0022 SD, EDIF RECTORADO CAMPUS RIU SEC, CASTELLON, SPAIN, 12006"
"ADDICTA-THE TURKISH JOURNAL ON ADDICTIONS","2148-7286","2149-1305","TURKISH GREEN CRESCENT SOC","SEPETCILER KASRIKENNEDY CAD NO 3 SARAYBURNU, FATIH, ISTANBUL, TURKEY, 34110"
"ADDICTIVE DISORDERS & THEIR TREATMENT","1531-5754","1535-1122","LIPPINCOTT WILLIAMS & WILKINS","TWO COMMERCE SQ, 2001 MARKET ST, PHILADELPHIA, USA, PA, 19103"
"ADELAIDE LAW REVIEW","0065-1915","0065-1915","UNIV ADELAIDE","DEPT ENGLISH, ADELAIDE, AUSTRALIA, 5001"
"ADEPTUS","2300-0783","2300-0783","POLISH ACAD SCIENCES, INST SLAVIC STUDIES","BARTOSZEWICZA 1B-17, WARSAW, POLAND, 00-337"
"ADMET AND DMPK","1848-7718","1848-7718","IAPC PUBLISHING","S ALICA 4, ZAGREB, CROATIA, HR-10000"
"AD-MINISTER","1692-0279","2256-4322","UNIV EAFIT","CARRERA 49 N 7, BLOQUE 38, OFICINA 331, MEDELLIN, COLOMBIA, SURAMERICA, SUR-50"
"ADMINISTRACAO-ENSINO E PESQUISA","2177-6083","2358-0917","ASSOC NAC CURSOS GRADUACAO & ADMINISTRACAO","AVE PRESIDENTE VARGAS, 590, GRUPO 1004 CENTRO, RIO DE JANEIRO, BRAZIL, 20071-000"
"ADMINISTRACAO PUBLICA E GESTAO SOCIAL","2175-5787","2175-5787","UNIV FEDERAL VICOSA","CAIXA POSTAL 270, VICOSA, BRAZIL, MG, CEP 36571-00"
"ADMINISTRATION","0001-8325","2449-9471","SCIENDO","DE GRUYTER POLAND SP Z O O, BOGUMILA ZUGA 32A STR, WARSAW, POLAND, 01-811"
"ADMINISTRATIVE SCIENCES","2076-3387","2076-3387","MDPI","ST ALBAN-ANLAGE 66, BASEL, SWITZERLAND, CH-4052"
"ADOLESCENT HEALTH MEDICINE AND THERAPEUTICS","1179-318X","1179-318X","DOVE MEDICAL PRESS LTD","PO BOX 300-008, ALBANY, NEW ZEALAND, AUCKLAND, 0752"
"ADOLESCENT PSYCHIATRY","2210-6766","2210-6774","BENTHAM SCIENCE PUBL","PO BOX 294, BUSUM, NETHERLANDS, 1400 AG"
"ADOLESCENT RESEARCH REVIEW","2363-8346","2363-8354","SPRINGER INTERNATIONAL PUBLISHING AG","GEWERBESTRASSE 11, CHAM, SWITZERLAND, CH-6330"
"ADOPTION AND FOSTERING","0308-5759","1740-469X","SAGE PUBLICATIONS LTD","1 OLIVERS YARD, 55 CITY ROAD, LONDON, ENGLAND, EC1Y 1SP"
