Rank;Sourceid;Title;Type;Issn;SJR;SJR Best Quartile;H index;Total Docs. (2018);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Publisher;Coverage;Categories
680;21100817528;Energy Science and Engineering;journal;20500505;0,975;Q1;16;65;105;2529;411;100;3,2;38,91;United Kingdom;John Wiley and Sons Ltd;2013-ongoing;"Energy (miscellaneous) (Q1); Safety, Risk, Reliability and Quality (Q1)"
681;19700175053;International Journal of Women's Health;journal;11791411;0,974;Q1;35;87;277;3422;726;271;2,3;39,33;New Zealand;Dove Medical Press Ltd;2009-ongoing;"Maternity and Midwifery (Q1); Obstetrics and Gynecology (Q1); Oncology (Q2)"
682;6700153291;BMC Systems Biology;journal;17520509;0,972;Q1;73;146;409;6575;861;404;2,04;45,03;United Kingdom;BioMed Central;2007-ongoing;"Computer Science Applications (Q1); Modeling and Simulation (Q1); Applied Mathematics (Q2); Structural Biology (Q2); Molecular Biology (Q3)"
683;21100780830;Canadian Journal of Kidney Health and Disease;journal;20543581;0,968;Q1;12;10;145;321;273;136;1,96;32,1;United Kingdom;SAGE Publications Ltd;2014-ongoing;Nephrology (Q1)
684;21100862081;Gastroenterology Report;journal;20520034;0,968;Q2;18;53;142;1918;363;140;2,12;36,19;United Kingdom;Oxford University Press;2014-ongoing;Gastroenterology (Q2)
685;21100324971;Biotechnology Reports;journal;2215017X;0,967;Q1;21;71;176;2793;801;173;4,47;39,34;Netherlands;Elsevier BV;2014-ongoing;"Applied Microbiology and Biotechnology (Q1); Biotechnology (Q1)"
686;21100242257;Insects;journal;20754450;0,967;Q1;23;194;276;11143;654;271;2,21;57,44;Switzerland;Multidisciplinary Digital Publishing Institute (MDPI);2010-ongoing;Insect Science (Q1)
687;21100403902;Metabolites;journal;22181989;0,967;Q2;25;91;149;5354;556;144;3,34;58,84;Switzerland;Multidisciplinary Digital Publishing Institute (MDPI);2014-ongoing;"Biochemistry (Q2); Endocrinology, Diabetes and Metabolism (Q2); Molecular Biology (Q3)"
688;19700174998;American Journal of Translational Research;journal;19438141;0,966;Q1;45;388;1281;14419;4199;1270;3,24;37,16;United States;e-Century Publishing Corporation;2009-ongoing;"Medicine (miscellaneous) (Q1); Clinical Biochemistry (Q2); Molecular Medicine (Q2); Cancer Research (Q3)"
689;19700175029;Pharmacogenomics and Personalized Medicine;journal;11787066;0,965;Q2;22;22;61;1087;192;58;3,3;49,41;New Zealand;Dove Medical Press Ltd;2009-ongoing;"Molecular Medicine (Q2); Pharmacology (Q2)"
690;12134;Journal of Official Statistics;journal;20017367, 0282423X;0,963;Q2;19;45;139;1612;141;123;1,05;35,82;Sweden;Statistics Sweden;1986-1989, 1991, 2009-ongoing;Statistics and Probability (Q2)
691;21100454943;Physiological Reports;journal;2051817X;0,963;Q2;25;383;1226;16943;2666;1184;2,13;44,24;United States;John Wiley and Sons Inc.;2013-ongoing;"Physiology (Q2); Physiology (medical) (Q2)"
692;21100817456;High Power Laser Science and Engineering;journal;20954719, 20523289;0,961;Q1;15;19;96;655;339;96;2,93;34,47;United Kingdom;Cambridge University Press;2016-ongoing;"Atomic and Molecular Physics, and Optics (Q1); Electronic, Optical and Magnetic Materials (Q1); Nuclear Energy and Engineering (Q1); Nuclear and High Energy Physics (Q2)"
693;21100817626;Scoliosis and Spinal Disorders;journal;23971789;0,959;Q1;34;27;130;1194;225;124;1,75;44,22;United Kingdom;BioMed Central;2016-ongoing;Orthopedics and Sports Medicine (Q1)
694;21100469375;Annals of Translational Medicine;journal;23055839, 23055847;0,958;Q1;31;0;1567;0;2825;830;3,27;0;China;AME Publishing Company;2016-2017 (cancelled);Medicine (miscellaneous) (Q1)
695;18026;BMC Pulmonary Medicine;journal;14712466;0,955;Q2;49;196;565;6694;1342;557;2,21;34,15;United Kingdom;BioMed Central;2001-ongoing;Pulmonary and Respiratory Medicine (Q2)
696;19700174918;Clinical and Translational Science;journal;17528062, 17528054;0,955;Q1;35;78;239;2565;561;211;3,75;32,88;United States;Wiley-Blackwell;2008-ongoing;"Medicine (miscellaneous) (Q1); Pharmacology, Toxicology and Pharmaceutics (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q2); Neuroscience (miscellaneous) (Q2)"
697;14126;Lipids in Health and Disease;journal;1476511X;0,954;Q2;57;296;639;11412;1727;624;2,67;38,55;United Kingdom;BioMed Central;2002-ongoing;"Biochemistry (medical) (Q2); Clinical Biochemistry (Q2); Endocrinology (Q2); Endocrinology, Diabetes and Metabolism (Q2)"
698;19700175906;Diabetes Therapy;journal;18696961, 18696953;0,953;Q2;25;197;236;6488;628;219;2,95;32,93;United States;Springer Healthcare Communications;2010-ongoing;"Endocrinology, Diabetes and Metabolism (Q2); Internal Medicine (Q2)"
699;26415;Electronic Transactions on Numerical Analysis;journal;10974067, 10689613;0,953;Q2;36;32;73;997;134;73;1,76;31,16;United States;Kent State University;1996-ongoing;Analysis (Q2)
700;18436;Chronic Respiratory Disease;journal;14799723, 14799731;0,952;Q2;34;78;137;2642;315;117;2,68;33,87;United Kingdom;SAGE Publications;2004-ongoing;Pulmonary and Respiratory Medicine (Q2)
701;11700154337;Nuclear Engineering and Technology;journal;17385733;0,952;Q2;29;159;407;3678;815;403;1,83;23,13;Netherlands;Elsevier BV;2008-ongoing;Nuclear Energy and Engineering (Q2)
702;19700174965;Breast Cancer: Basic and Clinical Research;journal;11782234;0,951;Q2;21;21;68;758;179;67;2,87;36,1;New Zealand;Libertas Academica;2009-ongoing;"Oncology (Q2); Cancer Research (Q3)"
703;4000152113;Journal of Sports Science and Medicine;journal;13032968;0,949;Q1;50;83;258;3343;557;245;1,84;40,28;Turkey;Dept. of Sports Medicine, Medical Faculty of Uludag University;2002-ongoing;"Orthopedics and Sports Medicine (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1); Sports Science (Q2)"
704;21100220340;Revista de Investigacion Educativa;journal;02124068, 19899106;0,947;Q1;10;31;93;1267;116;89;1,02;40,87;Spain;Asociacion Interuniversitaria de Investigacion en Pedagogia;2012-ongoing;Education (Q1)
705;21100445643;Food and Waterborne Parasitology;journal;24056766;0,945;Q1;6;8;23;365;77;22;3,57;45,63;United States;Elsevier Inc.;2015-ongoing;"Food Science (Q1); Parasitology (Q2); Epidemiology (Q3)"
706;19816;Biology of Sport;journal;0860021X;0,941;Q1;20;45;160;1694;344;157;2,08;37,64;Poland;Instytut Sportu/Institute of Sport;1996-ongoing;"Orthopedics and Sports Medicine (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1); Physiology (medical) (Q2); Sports Science (Q2)"
707;19700174927;Journal of Ovarian Research;journal;17572215;0,938;Q1;36;101;244;3580;655;236;2,54;35,45;United Kingdom;BioMed Central;2009-ongoing;"Obstetrics and Gynecology (Q1); Oncology (Q2)"
708;21100437623;Burnout Research;journal;22130586;0,937;Q1;13;0;44;0;162;38;4,2;0;Netherlands;Elsevier BV;2014-ongoing;"Public Health, Environmental and Occupational Health (Q1); Psychiatry and Mental Health (Q2)"
709;69955;Contributions to Zoology;journal;13834517, 18759866;0,937;Q1;32;15;40;1185;97;40;2,18;79;Netherlands;SPB Academic Publ;1995-ongoing;"Animal Science and Zoology (Q1); Ecology, Evolution, Behavior and Systematics (Q1)"
710;20770;Drug Delivery;journal;10717544;0,937;Q1;52;184;693;8390;2641;681;3,96;45,6;United Kingdom;Taylor & Francis;1993, 1995-ongoing;"Medicine (miscellaneous) (Q1); Pharmaceutical Science (Q1)"
711;21100781436;Journal of Experimental Pharmacology;journal;11791454;0,937;Q2;7;6;21;475;66;21;3;79,17;New Zealand;Dove Medical Press Ltd.;2010, 2013-ongoing;"Molecular Medicine (Q2); Pharmacology (Q2); Pharmacology (medical) (Q2)"
712;21100372295;Preventive Medicine Reports;journal;22113355;0,937;Q1;16;193;549;6930;1297;540;2,4;35,91;Netherlands;Elsevier BV;2014-ongoing;"Health Informatics (Q1); Public Health, Environmental and Occupational Health (Q1)"
713;19700175084;Revista Colombiana de Estadistica;journal;1201751;0,937;Q2;11;12;65;308;54;61;0,67;25,67;Colombia;Universidad Nacional de Colombia;2001-ongoing;Statistics and Probability (Q2)
714;23880;Journal of Interventional Cardiology;journal;08964327, 15408183;0,936;Q1;47;125;254;3161;478;224;2,12;25,29;United Kingdom;Blackwell Publishing Inc.;1988-ongoing;"Radiology, Nuclear Medicine and Imaging (Q1); Cardiology and Cardiovascular Medicine (Q2)"
715;4000151806;Archives of Medical Science;journal;17341922, 18969151;0,935;Q1;36;180;542;6414;1224;487;2,34;35,63;Poland;Termedia Publishing House Ltd.;2006-ongoing;Medicine (miscellaneous) (Q1)
716;21337;Health Research Policy and Systems;journal;14784505;0,935;Q1;42;126;281;5527;637;250;2,42;43,87;United Kingdom;BioMed Central;2003-ongoing;"Health Policy (Q1); Medicine (miscellaneous) (Q1)"
717;23085;Journal of Pharmacological Sciences;journal;13478648, 13478613;0,935;Q2;74;135;352;4013;971;348;2,49;29,73;Netherlands;Elsevier BV;1996-ongoing;"Molecular Medicine (Q2); Pharmacology (Q2)"
718;11200153571;Evolutionary Bioinformatics;journal;11769343;0,932;Q1;26;33;113;1486;260;108;2,14;45,03;New Zealand;Libertas Academica;2008-ongoing;"Computer Science Applications (Q1); Ecology, Evolution, Behavior and Systematics (Q2); Genetics (Q2)"
719;21100200421;Journal of Soil Science and Plant Nutrition;journal;7189516;0,931;Q1;28;79;235;2859;585;235;2,06;36,19;Chile;Sociedad Chilena de la Ciencia del Suelo;2010-ongoing;"Agronomy and Crop Science (Q1); Plant Science (Q1); Soil Science (Q1)"
720;19450;Journal of Health, Population and Nutrition;journal;16060997, 20721315;0,928;Q1;50;6;141;0;313;137;2,09;0;Bangladesh;BioMed Central Ltd.;2000-ongoing;"Food Science (Q1); Health, Toxicology and Mutagenesis (Q1); Public Health, Environmental and Occupational Health (Q1)"
721;13214;European Journal of General Practice;journal;13814788;0,927;Q1;23;42;135;513;191;113;1,53;12,21;United Kingdom;Taylor & Francis;1995-ongoing;"Family Practice (Q1); Medicine (miscellaneous) (Q1)"
722;14300154709;Hystrix;journal;18255272, 03941914;0,927;Q1;20;15;101;928;188;92;1,46;61,87;Italy;Associazione Teriologica Romana;2008-ongoing;"Animal Science and Zoology (Q1); Ecology, Evolution, Behavior and Systematics (Q2)"
723;19700174930;Diabetology and Metabolic Syndrome;journal;17585996;0,925;Q2;38;88;301;3496;701;296;2,28;39,73;United Kingdom;BioMed Central;2009-ongoing;"Endocrinology, Diabetes and Metabolism (Q2); Internal Medicine (Q2)"
724;15459;BioTechniques;journal;7366205;0,924;Q2;123;100;326;944;391;242;1,42;9,44;United States;Eaton Publishing Co.;1984-ongoing;"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q2); Biotechnology (Q2)"
725;21463;International Journal of Health Geographics;journal;1476072X;0,924;Q1;62;44;127;2397;380;123;2,95;54,48;United Kingdom;BioMed Central;2002-ongoing;"Business, Management and Accounting (miscellaneous) (Q1); Computer Science (miscellaneous) (Q1); Public Health, Environmental and Occupational Health (Q1)"
726;22367;Progress in Natural Science: Materials International;journal;10020071;0,924;Q1;48;102;297;4018;1109;293;3,43;39,39;Japan;IATSS - International Association of Traffic and Safety Sciences;1996-ongoing;"Materials Science (miscellaneous) (Q1); Multidisciplinary (Q1)"
727;24341;BMC Oral Health;journal;14726831;0,923;Q1;40;222;486;8064;1122;474;2,13;36,32;United Kingdom;BioMed Central;2001-ongoing;Dentistry (miscellaneous) (Q1)
728;21100286315;Brain and Behavior;journal;21623279;0,923;Q2;30;280;541;13004;1231;526;2,15;46,44;United States;John Wiley and Sons Inc.;2011-ongoing;Behavioral Neuroscience (Q2)
729;21100443787;SSM - Population Health;journal;23528273;0,923;Q1;10;105;205;5975;414;200;2,05;56,9;United Kingdom;Elsevier Limited;2015-ongoing;"Health Policy (Q1); Health (social science) (Q1); Public Health, Environmental and Occupational Health (Q1)"
730;4700152278;Drugs in Context;journal;17404398, 17451981;0,921;Q2;12;46;43;3211;121;41;1,09;69,8;United Kingdom;BioExcel Publishing Ltd;2006-2008, 2012-ongoing;"Molecular Medicine (Q2); Pharmacology (Q2)"
731;21807;Brazilian Journal of Infectious Diseases;journal;14138670;0,92;Q2;40;87;391;2160;661;310;2,13;24,83;Brazil;Elsevier Editora Ltda;2000-ongoing;"Infectious Diseases (Q2); Microbiology (medical) (Q2)"
732;21100854826;Hepatic Oncology;journal;20450923, 20450931;0,92;Q2;1;0;2;0;6;2;3;0;United Kingdom;Future Medicine Ltd.;2016-ongoing;"Hepatology (Q2); Oncology (Q2)"
733;5800179601;Substance Abuse: Treatment, Prevention, and Policy;journal;1747597X;0,92;Q1;34;50;139;2128;337;134;2,23;42,56;United Kingdom;BioMed Central;2006-ongoing;"Health Policy (Q1); Psychiatry and Mental Health (Q2)"
734;4700152497;European Reviews of Aging and Physical Activity;journal;18616909, 18137253;0,919;Q2;21;17;43;833;125;42;2,86;49;Germany;Springer Verlag;2006-ongoing;Geriatrics and Gerontology (Q2)
735;21100199809;Probability Surveys;journal;15495787;0,919;Q2;34;6;9;279;22;9;3,17;46,5;United States;Institute of Mathematical Statistics;2004-2005, 2007-ongoing;Statistics and Probability (Q2)
736;21100212112;Insights into Imaging;journal;18694101;0,918;Q1;28;92;190;3982;639;178;3,55;43,28;Germany;Springer Science and Business Media Deutschland GmbH;2012-ongoing;Radiology, Nuclear Medicine and Imaging (Q1)
737;21100852989;Diagnostics;journal;20754418;0,917;Q2;9;0;28;0;90;26;2,36;0;Switzerland;MDPI AG;2014-ongoing;Clinical Biochemistry (Q2)
738;21100316001;Journal of Biomedical Semantics;journal;20411480;0,917;Q1;30;25;158;1382;303;156;1,92;55,28;United Kingdom;BioMed Central;2010-ongoing;"Computer Networks and Communications (Q1); Computer Science Applications (Q1); Health Informatics (Q1); Information Systems (Q1)"
739;13118;Sarcoma;journal;1357714X, 13691643;0,912;Q1;36;32;82;1067;164;80;1,45;33,34;Egypt;Hindawi Publishing Corporation;1997-ongoing;"Radiology, Nuclear Medicine and Imaging (Q1); Oncology (Q2)"
740;17398;Current Issues in Molecular Biology;journal;14673037, 14673045;0,91;Q1;49;37;52;906;141;51;2,76;24,49;United Kingdom;Caister Academic Press;1999-ongoing;"Medicine (miscellaneous) (Q1); Microbiology (Q2); Microbiology (medical) (Q2); Molecular Biology (Q3)"
741;21100199857;Annals of Laboratory Medicine;journal;22343806, 22343814;0,905;Q1;28;131;361;2873;594;235;2,81;21,93;South Korea;Seoul National University;2012-ongoing;"Medicine (miscellaneous) (Q1); Biochemistry (medical) (Q2); Clinical Biochemistry (Q2)"
742;19700200878;Iranian Endodontic Journal;journal;20082746, 17357497;0,905;Q1;18;99;234;3324;455;229;2,02;33,58;Iran;Iranian Center for Endodontic Research;2011-ongoing;Dentistry (miscellaneous) (Q1)
743;21100854829;Tropical Diseases, Travel Medicine and Vaccines;journal;20550936;0,905;Q2;4;0;23;0;45;22;2,2;0;United Kingdom;BioMed Central Ltd.;2015-ongoing;"Infectious Diseases (Q2); Public Health, Environmental and Occupational Health (Q2)"
744;19700176215;IEEE Photonics Journal;journal;19430647, 19430655;0,904;Q1;59;599;1573;16291;4570;1565;2,74;27,2;United States;Institute of Electrical and Electronics Engineers;2009-ongoing;"Atomic and Molecular Physics, and Optics (Q1); Electrical and Electronic Engineering (Q1)"
745;21100841829;Immunity, inflammation and disease;journal;20504527;0,904;Q2;6;40;62;1730;137;60;2,28;43,25;United Kingdom;John Wiley and Sons Ltd;2017-ongoing;"Immunology and Allergy (Q2); Immunology (Q3)"
746;21100858473;Injury Epidemiology;journal;21971714;0,904;Q1;13;46;97;1306;258;95;2,4;28,39;United Kingdom;SpringerOpen;2014-ongoing;Medicine (miscellaneous) (Q1)
747;16077;Journal of Biomolecular Techniques;journal;15240215;0,904;Q3;42;7;57;75;97;49;2,18;10,71;United States;Association of Biomolecular Resource Facilities;1999-ongoing;Molecular Biology (Q3)
748;7500153130;Annals of Gastroenterology;journal;17927463, 11087471;0,902;Q2;24;118;325;4709;731;248;2,42;39,91;Greece;Hellenic Society of Gastroenterology;2000-ongoing;Gastroenterology (Q2)
749;21100325142;Journal of Pharmaceutical Policy and Practice;journal;20523211;0,902;Q1;12;31;102;1155;172;92;1,94;37,26;United Kingdom;BioMed Central;2013-ongoing;"Health Policy (Q1); Pharmacology, Toxicology and Pharmaceutics (miscellaneous) (Q1)"
750;21100786208;Kidney International Reports;journal;24680249;0,902;Q2;9;201;202;6702;380;168;2,26;33,34;United States;Elsevier Inc.;2016-ongoing;Nephrology (Q2)
751;10900153309;Endangered Species Research;journal;18635407, 16134796;0,901;Q1;46;62;229;3832;481;217;2,29;61,81;Germany;Inter-Research Science Center;2008-ongoing;"Ecology (Q1); Nature and Landscape Conservation (Q1)"
752;5700191215;Infectious Agents and Cancer;journal;17509378;0,901;Q2;30;43;172;1777;408;165;2,59;41,33;United Kingdom;BioMed Central;2006-ongoing;"Infectious Diseases (Q2); Oncology (Q2); Cancer Research (Q3); Epidemiology (Q3)"
753;21100206283;Journal of Bone Oncology;journal;22121366, 22121374;0,901;Q2;15;46;88;1643;268;87;2,87;35,72;Germany;Elsevier GmbH;2012-ongoing;Oncology (Q2)
754;19800188031;Mediterranean Marine Science;journal;17916763, 1108393X;0,901;Q1;31;24;175;1455;373;174;1,81;60,63;Greece;National Centre for Marine Research;2010-ongoing;"Aquatic Science (Q1); Environmental Engineering (Q1); Ecology, Evolution, Behavior and Systematics (Q2); Oceanography (Q2)"
755;19395;BMC Nephrology;journal;14712369;0,9;Q2;43;383;802;11671;1856;792;2,07;30,47;United Kingdom;BioMed Central;2000-ongoing;Nephrology (Q2)
756;16800154711;Journal of Infection and Public Health;journal;18760341, 1876035X;0,899;Q1;25;204;370;5255;771;316;2,49;25,76;Netherlands;Elsevier BV;2008-ongoing;"Medicine (miscellaneous) (Q1); Infectious Diseases (Q2); Public Health, Environmental and Occupational Health (Q2)"
757;19700171016;Substance Abuse: Research and Treatment;journal;11782218;0,899;Q2;15;18;77;629;168;73;1,79;34,94;New Zealand;Libertas Academica;2009-ongoing;Psychiatry and Mental Health (Q2)
758;4800153203;Allergy, Asthma and Clinical Immunology;journal;17101492, 17101484;0,898;Q2;26;87;149;3005;389;137;2,63;34,54;United Kingdom;BioMed Central;2004-ongoing;"Immunology and Allergy (Q2); Pulmonary and Respiratory Medicine (Q2); Immunology (Q3)"
759;19700175093;Clinical Pharmacology: Advances and Applications;journal;11791438;0,897;Q2;21;7;53;324;135;52;3;46,29;New Zealand;Dove Medical Press Ltd;2009-ongoing;Pharmacology (medical) (Q2)
760;130145;Clinical Proteomics;journal;15590275, 15426416;0,897;Q2;25;43;100;2273;293;99;2,94;52,86;United States;Humana Press, Inc.;2004-ongoing;"Clinical Biochemistry (Q2); Molecular Biology (Q3); Molecular Medicine (Q3)"
761;4100151703;Neuropsychiatric Disease and Treatment;journal;11766328;0,897;Q2;55;355;1043;16043;2676;999;2,41;45,19;New Zealand;Dove Medical Press Ltd;2006-ongoing;"Psychiatry and Mental Health (Q2); Biological Psychiatry (Q3)"
762;11700154618;Child and Adolescent Psychiatry and Mental Health;journal;17532000;0,896;Q1;34;53;167;2316;418;159;1,89;43,7;United Kingdom;BioMed Central;2007-ongoing;"Pediatrics, Perinatology and Child Health (Q1); Psychiatry and Mental Health (Q2)"
763;21100826280;Frontiers in Environmental Science;journal;2296665X;0,896;Q1;9;146;96;9829;299;88;3,38;67,32;Switzerland;Frontiers Media S.A.;2015-ongoing;Environmental Science (miscellaneous) (Q1)
764;21100253674;Nanomaterials;journal;20794991;0,896;Q1;30;1015;818;52292;3430;799;4,08;51,52;Switzerland;Multidisciplinary Digital Publishing Institute (MDPI);2014-ongoing;"Chemical Engineering (miscellaneous) (Q1); Materials Science (miscellaneous) (Q1)"
765;21100853556;Neuroscience and Neuroeconomics;journal;22303561;0,896;Q2;3;0;6;0;19;6;0,75;0;New Zealand;Dove Medical Press Ltd.;2015-ongoing;"Neuropsychology and Physiological Psychology (Q2); Neuroscience (miscellaneous) (Q2)"
766;21100853016;Antibodies;journal;20734468;0,895;Q1;5;0;14;0;32;14;0,4;0;Switzerland;MDPI AG;2014-ongoing;"Drug Discovery (Q1); Immunology and Allergy (Q2); Immunology (Q3)"
767;20645;Thrombosis Journal;journal;14779560;0,895;Q2;31;35;119;1374;362;115;2,57;39,26;United Kingdom;BioMed Central;2003-ongoing;Hematology (Q2)
768;5800179604;Algorithms for Molecular Biology;journal;17487188;0,894;Q1;31;17;85;623;175;82;2,06;36,65;United Kingdom;BioMed Central;2006-ongoing;"Computational Theory and Mathematics (Q1); Applied Mathematics (Q2); Molecular Biology (Q3); Structural Biology (Q3)"
769;76879;Breeding Science;journal;13447610, 13473735;0,894;Q1;46;72;229;3539;470;203;2,17;49,15;Japan;Japanese Society of Breeding;1994-ongoing;"Agronomy and Crop Science (Q1); Plant Science (Q1); Genetics (Q3)"
770;5000158703;Croatian Journal of Forest Engineering;journal;18489672, 18455719;0,894;Q1;21;28;92;1176;226;91;2,35;42;Croatia;Faculty of Forestry, University of Zagreb;2005-ongoing;Forestry (Q1)
771;21100824973;Endocrine Connections;journal;20493614;0,894;Q2;12;146;160;6752;429;153;2,45;46,25;United Kingdom;BioScientifica Ltd.;2014-ongoing;"Endocrinology (Q2); Endocrinology, Diabetes and Metabolism (Q2); Internal Medicine (Q2)"
772;21100788713;Intestinal Research;journal;15989100, 22881956;0,894;Q2;10;78;137;2349;316;120;2,63;30,12;South Korea;Korean Association for the Study of Intestinal Diseases;2016-ongoing;Gastroenterology (Q2)
773;21100388307;Journal of Ethnic Foods;journal;23526181;0,894;Q1;13;40;114;1266;240;98;2,08;31,65;Netherlands;Elsevier BV;2015-ongoing;"Anthropology (Q1); Food Science (Q1)"
774;26767;Altex;journal;1868596X, 18688551;0,893;Q1;45;42;123;8;411;104;4,56;0,19;Germany;Spektrum Akademischer Verlag GmbH;2000-ongoing;"Medical Laboratory Technology (Q1); Medicine (miscellaneous) (Q1); Pharmacology (Q2)"
775;15500154703;Evolutionary Psychology;journal;14747049;0,893;Q1;27;46;150;2844;312;146;2,17;61,83;United Kingdom;Human Nature Review;2009-ongoing;"Medicine (miscellaneous) (Q1); Behavioral Neuroscience (Q2); Social Psychology (Q2)"
776;19700175043;Cancer Management and Research;journal;11791322;0,892;Q2;32;645;137;27017;325;133;2,25;41,89;New Zealand;Dove Medical Press Ltd;2010-ongoing;Oncology (Q2)
777;4000149005;Clinical Psychopharmacology and Neuroscience;journal;17381088;0,891;Q2;22;71;188;2624;451;173;2,25;36,96;South Korea;Korean College of Neuropsychopharmacology;2005-ongoing;"Pharmacology (medical) (Q2); Psychiatry and Mental Health (Q2); Behavioral Neuroscience (Q3)"
778;21100228081;Journal of Nutrition and Metabolism;journal;20900732, 20900724;0,891;Q1;33;47;103;2063;232;98;2,1;43,89;Egypt;Hindawi Publishing Corporation;2010-ongoing;"Food Science (Q1); Endocrinology, Diabetes and Metabolism (Q2); Nutrition and Dietetics (Q2)"
779;22596;Revista de Saude Publica;journal;348910;0,89;Q1;68;126;385;3445;700;368;1,6;27,34;Brazil;Universidade de Sao Paulo;1967-ongoing;"Medicine (miscellaneous) (Q1); Public Health, Environmental and Occupational Health (Q2)"
780;21100851481;Frontiers in Pediatrics;journal;22962360;0,889;Q1;22;414;440;20668;956;380;2,46;49,92;Switzerland;Frontiers Media S.A.;2017-ongoing;Pediatrics, Perinatology and Child Health (Q1)
781;21100238601;International Journal of Inflammation;journal;20420099, 20908040;0,889;Q2;24;11;47;761;120;45;2,45;69,18;United States;Hindawi Publishing Corporation;2012-ongoing;Immunology and Allergy (Q2)
782;21100345623;Global Spine Journal;journal;21925682, 21925690;0,888;Q1;13;140;341;4346;598;287;2,18;31,04;United States;SAGE Publications Inc.;2014-ongoing;"Surgery (Q1); Neurology (clinical) (Q2); Orthopedics and Sports Medicine (Q2)"
783;21100218036;Radiation Oncology Journal;journal;22341900, 22343156;0,888;Q1;15;31;129;840;279;129;2,15;27,1;South Korea;Korean Society for Therapeutic Radiology and Oncology;2012-ongoing;"Radiology, Nuclear Medicine and Imaging (Q1); Oncology (Q2)"
784;19499;BMC Women's Health;journal;14726874;0,887;Q1;40;206;332;7233;701;329;1,65;35,11;United Kingdom;BioMed Central;2001-ongoing;"Medicine (miscellaneous) (Q1); Obstetrics and Gynecology (Q2); Reproductive Medicine (Q2)"
785;19500157826;Critical Ultrasound Journal;journal;20363176, 20367902;0,886;Q1;19;32;62;812;193;58;2,74;25,38;Italy;Springer Verlag Italia;2010-ongoing;Radiological and Ultrasound Technology (Q1)
786;21100203705;Optical Materials Express;journal;21593930;0,886;Q1;49;301;1187;10084;3272;1177;2,75;33,5;United States;Optical Society of America;2011-ongoing;Electronic, Optical and Magnetic Materials (Q1)
787;19700177308;Stroke Research and Treatment;journal;20908105, 20420056;0,885;Q2;27;19;46;800;95;45;1,61;42,11;Egypt;Hindawi Publishing Corporation;2010-ongoing;Neurology (clinical) (Q2)
788;19262;Revista Brasileira de Psiquiatria;journal;15164446;0,884;Q2;45;79;211;2711;416;148;2,52;34,32;Brazil;Associacao Brasileira de Psiquiatria;1999-ongoing;Psychiatry and Mental Health (Q2)
789;12000154402;Blood Transfusion;journal;17232007, 23852070;0,883;Q1;38;83;291;2832;675;224;3,53;34,12;Italy;SIMTI Servizi Sri;2003-ongoing;"Medicine (miscellaneous) (Q1); Hematology (Q2); Immunology and Allergy (Q2)"
790;22487;BMC Cardiovascular Disorders;journal;14712261;0,882;Q2;48;240;739;8062;1511;730;1,95;33,59;United Kingdom;BioMed Central;2001-ongoing;Cardiology and Cardiovascular Medicine (Q2)
791;21100255082;International Journal of Integrated Care;journal;15684156;0,882;Q1;24;62;125;2500;268;115;2,01;40,32;Netherlands;Ubiquity Press Ltd;2012-ongoing;"Health (social science) (Q1); Sociology and Political Science (Q1); Health Policy (Q2)"
792;21100447118;Mycosphere;journal;20777019, 20777000;0,882;Q1;13;44;328;2830;548;320;1,95;64,32;China;Guizhou Key Laboratory of Agricultural Biotechnology;2015-ongoing;"Plant Science (Q1); Ecology, Evolution, Behavior and Systematics (Q2)"
793;29541;BMC Musculoskeletal Disorders;journal;14712474;0,88;Q2;81;456;1463;15804;3290;1437;2,05;34,66;United Kingdom;BioMed Central;2000-ongoing;"Orthopedics and Sports Medicine (Q2); Rheumatology (Q2)"
794;10800153305;Brazilian Journal of Physical Therapy;journal;18099246, 14133555;0,879;Q1;28;109;195;3976;418;184;2,22;36,48;Brazil;Elsevier Editora Ltda;2007-ongoing;"Physical Therapy, Sports Therapy and Rehabilitation (Q1); Rehabilitation (Q1); Orthopedics and Sports Medicine (Q2)"
795;19900193510;Genetics and Epigenetics;journal;1179237X;0,879;Q2;8;0;16;0;44;16;2,75;0;New Zealand;Libertas Academica Ltd.;2008-2010, 2012-ongoing;"Biochemistry (Q2); Genetics (Q3)"
796;21100854892;BMC Obesity;journal;20529538;0,878;Q1;12;44;145;2081;329;142;2,09;47,3;United Kingdom;BioMed Central Ltd.;2014-ongoing;"Physical Therapy, Sports Therapy and Rehabilitation (Q1); Endocrinology, Diabetes and Metabolism (Q2); Health Policy (Q2); Public Health, Environmental and Occupational Health (Q2); Epidemiology (Q3)"
797;21100837200;Schizophrenia Research and Treatment;journal;20902085, 20902093;0,878;Q2;6;9;15;533;33;15;2,21;59,22;Egypt;Hindawi Limited;2014-ongoing;"Neurology (clinical) (Q2); Psychiatry and Mental Health (Q2)"
